Country,Year,Pop,Decade,GDP,Life_Expectancy,Region
North Yemen (former),1800,NA,1800,NA,NA,NA
South Yemen (former),1800,NA,1800,NA,NA,NA
Yemen,1800,2593000,1800,877,23.387,NA
Yugoslavia,1800,NA,1800,NA,NA,Europe & Central Asia
Zambia,1800,747000,1800,663,32.6,Sub-Saharan Africa
Zimbabwe,1800,1085814,1800,869,33.7,Sub-Saharan Africa
Åland,1800,NA,1800,NA,NA,Europe & Central Asia
South Sudan,1800,1027378,1800,507,26.665,Sub-Saharan Africa
Curaçao,1800,NA,1800,NA,NA,NA
Sint Maarten (Dutch part),1800,NA,1800,NA,NA,NA
St. Martin (French part),1800,NA,1800,NA,NA,NA
Antarctica,1800,NA,1800,NA,NA,NA
Bouvet Island,1800,NA,1800,NA,NA,NA
British Indian Ocean Territory,1800,NA,1800,NA,NA,NA
Clipperton,1800,NA,1800,NA,NA,NA
French Southern and Antarctic Lands,1800,NA,1800,NA,NA,NA
Gaza Strip,1800,NA,1800,NA,NA,NA
Heard and McDonald Islands,1800,NA,1800,NA,NA,NA
Northern Marianas,1800,NA,1800,NA,NA,NA
South Georgia and the South Sandwich Islands,1800,NA,1800,NA,NA,NA
US Minor Outlying Islands,1800,NA,1800,NA,NA,NA
Virgin Islands,1800,NA,1800,NA,NA,NA
West Bank,1800,NA,1800,NA,NA,NA
Abkhazia,1801,NA,1800,NA,NA,Europe & Central Asia
Afghanistan,1801,3280000,1800,603,28.2007533333333,South Asia
Akrotiri and Dhekelia,1801,NA,1800,NA,NA,Europe & Central Asia
Albania,1801,410445,1800,667,35.4,Europe & Central Asia
Algeria,1801,2503218,1800,716,28.8224,Middle East & North Africa
American Samoa,1801,8170,1800,NA,NA,East Asia & Pacific
Andorra,1801,2654,1800,1199,NA,Europe & Central Asia
Angola,1801,1567028,1800,620,26.98,Sub-Saharan Africa
Anguilla,1801,2025,1800,NA,NA,America
Antigua and Barbuda,1801,37000,1800,757,33.536,America
Argentina,1801,534000,1800,1508,33.2,America
Armenia,1801,413326,1800,514,33.995,Europe & Central Asia
Aruba,1801,19286,1800,833,34.419,America
Australia,1801,351014,1800,816,34.05,East Asia & Pacific
Austria,1801,3205587,1800,1855,34.4,Europe & Central Asia
Azerbaijan,1801,879960,1800,775,29.165,Europe & Central Asia
Bahamas,1801,27350,1800,1445,35.179,America
Bahrain,1801,64474,1800,1240,30.3,Middle East & North Africa
Bangladesh,1801,19227358,1800,876,25.5,South Asia
Barbados,1801,81729,1800,914,32.124,America
Belarus,1801,2355081,1800,608,36.2,Europe & Central Asia
Belgium,1801,3138137,1800,2413,40.0080487804878,Europe & Central Asia
Belize,1801,25526,1800,579,26.5,America
Benin,1801,636559,1800,597,31,Sub-Saharan Africa
Bermuda,1801,9692,1800,1227,NA,America
Bhutan,1801,89989,1800,629,28.799,South Asia
Bolivia,1801,1100000,1800,854,33,America
Bosnia and Herzegovina,1801,851806,1800,669,35.1,Europe & Central Asia
Botswana,1801,121000,1800,397,33.6,Sub-Saharan Africa
Brazil,1801,3639636,1800,1109,31.9998066666667,America
British Virgin Islands,1801,6700,1800,NA,NA,America
